BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	1561	LC/MS Pos Late	1105
andro steroid monosulfate C19H28O6S (1)*	Lipid	Androgenic Steroids	32827	LC/MS Neg	100002152
"androstenediol (3alpha, 17alpha) monosulfate (2)"	Lipid	Androgenic Steroids	37207	LC/MS Neg	100002026
"androstenediol (3alpha, 17alpha) monosulfate (3)"	Lipid	Androgenic Steroids	37209	LC/MS Neg	100002027
"androstenediol (3beta,17beta) disulfate (1)"	Lipid	Androgenic Steroids	37202	LC/MS Neg	100001992
"androstenediol (3beta,17beta) disulfate (2)"	Lipid	Androgenic Steroids	37203	LC/MS Neg	100001994
"androstenediol (3beta,17beta) monosulfate (1)"	Lipid	Androgenic Steroids	37211	LC/MS Neg	100002028
"androstenediol (3beta,17beta) monosulfate (2)"	Lipid	Androgenic Steroids	37210	LC/MS Neg	100002029
androsterone glucuronide	Lipid	Androgenic Steroids	61846	LC/MS Neg	100002761
androsterone sulfate	Lipid	Androgenic Steroids	31591	LC/MS Neg	100001073
arabinose	Carbohydrate	Pentose Metabolism	575	LC/MS Polar	828
arabitol/xylitol	Carbohydrate	Pentose Metabolism	48885	LC/MS Polar	100006430
arabonate/xylonate	Carbohydrate	Pentose Metabolism	48255	LC/MS Polar	100006115
arachidate (20:0)	Lipid	Long Chain Saturated Fatty Acid	1118	LC/MS Neg	893
arachidonate (20:4n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1110	LC/MS Neg	229
arachidonoyl ethanolamide	Lipid	Endocannabinoid	32463	LC/MS Pos Late	1488
arachidonoylcarnitine (C20:4)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57518	LC/MS Pos Late	100015837
arachidonoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	53261	LC/MS Pos Late	100009332
arachidoylcarnitine (C20)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	57513	LC/MS Pos Late	100015833
argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	57461	LC/MS Pos Early	100002769
arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1638	LC/MS Pos Early	231
ascorbic acid 2-sulfate	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	63590	LC/MS Polar	100009329
ascorbic acid 3-sulfate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	63687	LC/MS Polar	100020409
asparagine	Amino Acid	Alanine and Aspartate Metabolism	512	LC/MS Pos Early	917
aspartate	Amino Acid	Alanine and Aspartate Metabolism	443	LC/MS Pos Early	234
atenolol	Xenobiotics	Drug - Cardiovascular	38658	LC/MS Pos Early	100002726
azelate (nonanedioate; C9)	Lipid	"Fatty Acid, Dicarboxylate"	18362	LC/MS Neg	2029
azithromycin	Xenobiotics	Drug - Antibiotic	52966	LC/MS Pos Late	100008963
baclofen	Xenobiotics	Drug - Neurological	57646	LC/MS Pos Early	100015779
behenate (22:0)*	Lipid	Long Chain Saturated Fatty Acid	12125	LC/MS Neg	314
benzoate	Xenobiotics	Benzoate Metabolism	15778	LC/MS Neg	100000008
benzoylcarnitine*	Xenobiotics	Chemical	43265	LC/MS Pos Early	100004555
beta-alanine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	55	LC/MS Pos Early	244
beta-citrylglutamate	Amino Acid	Glutamate Metabolism	54923	LC/MS Neg	100003271
beta-cryptoxanthin	Cofactors and Vitamins	Vitamin A Metabolism	57591	LC/MS Pos Late	100001977
beta-hydroxyisovalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	12129	LC/MS Neg	1442
betaine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	3141	LC/MS Pos Early	799
"bilirubin (E,E)*"	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	32586	LC/MS Pos Late	100001950
"bilirubin (E,Z or Z,E)*"	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	47886	LC/MS Pos Late	100001951
bilirubin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	43807	LC/MS Pos Late	1090
biliverdin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	2137	LC/MS Pos Late	250
biotin	Cofactors and Vitamins	Biotin Metabolism	568	LC/MS Pos Early	251
bradykinin	Peptide	Polypeptide	22154	LC/MS Pos Late	100000967
"bradykinin, des-arg(9)"	Peptide	Polypeptide	34420	LC/MS Neg	100001292
branched chain 14:0 dicarboxylic acid	Lipid	"Fatty Acid, Dicarboxylate"	63191	LC/MS Neg	100021374
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"	Partially Characterized Molecules	Partially Characterized Molecules	63615	LC/MS Neg	100021666
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*"	Partially Characterized Molecules	Partially Characterized Molecules	63616	LC/MS Neg	100021667
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*"	Partially Characterized Molecules	Partially Characterized Molecules	63683	LC/MS Neg	100021709
butyrate (4:0)	Lipid	Short Chain Fatty Acid	40605	LC/MS Neg	1143
butyrylcarnitine (C4)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32412	LC/MS Pos Early	100001054
C-glycosyltryptophan	Amino Acid	Tryptophan Metabolism	48782	LC/MS Neg	100006379
caffeic acid sulfate	Xenobiotics	Food Component/Plant	53254	LC/MS Polar	100009337
caffeine	Xenobiotics	Xanthine Metabolism	569	LC/MS Pos Early	849
campesterol	Lipid	Sterol	33997	LC/MS Pos Late	100001269
caprate (10:0)	Lipid	Medium Chain Fatty Acid	1642	LC/MS Neg	888
caproate (6:0)	Lipid	Medium Chain Fatty Acid	32489	LC/MS Neg	926
caprylate (8:0)	Lipid	Medium Chain Fatty Acid	32492	LC/MS Neg	932
carboxyethyl-GABA	Amino Acid	Glutamate Metabolism	40007	LC/MS Pos Early	100003260
carboxyibuprofen	Xenobiotics	"Drug - Analgesics, Anesthetics"	43333	LC/MS Neg	100004171
carnitine	Lipid	Carnitine Metabolism	15500	LC/MS Pos Early	100000007
carnitine of C10H14O2 (5)*	Partially Characterized Molecules	Partially Characterized Molecules	63650	LC/MS Neg	100021678
carotene diol (1)	Cofactors and Vitamins	Vitamin A Metabolism	57635	LC/MS Pos Late	100015966
carotene diol (2)	Cofactors and Vitamins	Vitamin A Metabolism	57636	LC/MS Pos Late	100015967
carotene diol (3)	Cofactors and Vitamins	Vitamin A Metabolism	57637	LC/MS Pos Late	100015968
catechol glucuronide	Amino Acid	Tyrosine Metabolism	53243	LC/MS Neg	100009326
catechol sulfate	Xenobiotics	Benzoate Metabolism	35320	LC/MS Neg	100001605
celecoxib	Xenobiotics	"Drug - Analgesics, Anesthetics"	38599	LC/MS Neg	100002805
cerotoylcarnitine (C26)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	57516	LC/MS Pos Late	100015835
cetirizine	Xenobiotics	Drug - Respiratory	54745	LC/MS Pos Late	100009034
chenodeoxycholate	Lipid	Primary Bile Acid Metabolism	1563	LC/MS Neg	1123
chenodeoxycholic acid sulfate (1)	Lipid	Primary Bile Acid Metabolism	63607	LC/MS Neg	100021650
chiro-inositol	Lipid	Inositol Metabolism	37112	LC/MS Polar	100001859
chlorthalidone	Xenobiotics	Drug - Cardiovascular	54784	LC/MS Neg	100006181
cholate	Lipid	Primary Bile Acid Metabolism	22842	LC/MS Neg	136
cholesterol	Lipid	Sterol	63	LC/MS Pos Late	266
cholic acid glucuronide	Lipid	Primary Bile Acid Metabolism	62571	LC/MS Neg	100020549
choline	Lipid	Phospholipid Metabolism	15506	LC/MS Pos Early	1256
phosphocholine	Lipid	Phospholipid Metabolism	34396	LC/MS Pos Early	267
cinnamoylglycine	Xenobiotics	Food Component/Plant	38637	LC/MS Neg	100002253
cis-4-decenoate (10:1n6)*	Lipid	Medium Chain Fatty Acid	62873	LC/MS Neg	100002796
cis-4-decenoylcarnitine (C10:1)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	38178	LC/MS Pos Late	100002259
citalopram N-oxide*	Xenobiotics	Drug - Psychoactive	62476	LC/MS Pos Late	100020792
citalopram propionate*	Xenobiotics	Drug - Psychoactive	62479	LC/MS Neg	100020793
citraconate/glutaconate	Energy	TCA Cycle	47076	LC/MS Polar	100006438
citrate	Energy	TCA Cycle	1564	LC/MS Neg	1124
citrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	2132	LC/MS Pos Early	391
cortisol	Lipid	Corticosteroids	1712	LC/MS Neg	356
cortisone	Lipid	Corticosteroids	1769	LC/MS Neg	273
cortolone glucuronide (1)	Lipid	Corticosteroids	57699	LC/MS Neg	100015971
cotinine	Xenobiotics	Tobacco Metabolite	553	LC/MS Pos Early	848
creatine	Amino Acid	Creatine Metabolism	27718	LC/MS Pos Early	1221
creatinine	Amino Acid	Creatine Metabolism	513	LC/MS Pos Early	275
"cys-gly, oxidized"	Amino Acid	Glutathione Metabolism	18368	LC/MS Pos Early	1224
cystathionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	15705	LC/MS Pos Early	310
cysteine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	1868	LC/MS Pos Early	800
cysteine s-sulfate	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	22176	LC/MS Pos Early	100000808
cysteine sulfinic acid	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	37443	LC/MS Pos Early	100002113
cysteine-glutathione disulfide	Amino Acid	Glutathione Metabolism	35159	LC/MS Pos Early	100001437
cysteinylglycine	Amino Acid	Glutathione Metabolism	35637	LC/MS Pos Early	278
cysteinylglycine disulfide*	Amino Acid	Glutathione Metabolism	62103	LC/MS Pos Early	100002466
cystine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	56	LC/MS Pos Early	279
cytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	514	LC/MS Neg	827
cytosine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	573	LC/MS Pos Early	881
decadienedioic acid (C10:2-DC)	Lipid	"Fatty Acid, Dicarboxylate"	63685	LC/MS Polar	100021711
decanoylcarnitine (C10)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	33941	LC/MS Pos Late	100001251
dehydroepiandrosterone sulfate (DHEA-S)	Lipid	Androgenic Steroids	32425	LC/MS Neg	100000792
delta-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	62287	LC/MS Neg	100020416
delta-CEHC glucuronide	Cofactors and Vitamins	Tocopherol Metabolism	62286	LC/MS Neg	100020483
delta-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	33418	LC/MS Pos Late	100001216
deoxycarnitine	Lipid	Carnitine Metabolism	36747	LC/MS Pos Early	100001662
deoxycholate	Lipid	Secondary Bile Acid Metabolism	1114	LC/MS Neg	302
deoxycholic acid (12 or 24)-sulfate*	Lipid	Secondary Bile Acid Metabolism	63688	LC/MS Neg	100021712
deoxycholic acid glucuronide	Lipid	Secondary Bile Acid Metabolism	63610	LC/MS Neg	100020550
desmethylcitalopram*	Xenobiotics	Drug - Psychoactive	62477	LC/MS Pos Late	100020790
desmethylnaproxen	Xenobiotics	"Drug - Analgesics, Anesthetics"	46331	LC/MS Neg	100001787
desmethylnaproxen sulfate	Xenobiotics	"Drug - Analgesics, Anesthetics"	46106	LC/MS Neg	100001788
dextromethorphan	Xenobiotics	Drug - Respiratory	38301	LC/MS Pos Late	100000740
dibutyl sulfosuccinate	Xenobiotics	Chemical	63841	LC/MS Neg	100021538
dihomolinoleate (20:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	17805	LC/MS Neg	1231
dihomolinolenate (20:3n3 or 3n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	35718	LC/MS Neg	100001739
dihomo-linolenoyl-choline	Lipid	Fatty Acid Metabolism (Acyl Choline)	53262	LC/MS Pos Late	100009335
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57521	LC/MS Pos Late	100015840
dihomo-linoleoylcarnitine (C20:2)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57520	LC/MS Pos Late	100015839
dihydrocaffeate sulfate (2)	Xenobiotics	Food Component/Plant	62524	LC/MS Polar	100020822
dihydroferulate	Xenobiotics	Food Component/Plant	40481	LC/MS Neg	100003432
dihydroorotate	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	601	LC/MS Polar	923
diltiazem	Xenobiotics	Drug - Cardiovascular	42981	LC/MS Pos Late	100004015
dimethyl sulfone	Xenobiotics	Chemical	43424	LC/MS Pos Early	100004284
dimethylarginine (ADMA + SDMA)	Amino Acid	Urea cycle; Arginine and Proline Metabolism	36808	LC/MS Pos Early	100001810
dimethylglycine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	5086	LC/MS Pos Early	806
dimethylguanidino valeric acid (DMGV)*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62783	LC/MS Pos Early	100020866
diphenhydramine	Xenobiotics	Drug - Respiratory	38669	LC/MS Pos Late	100002732
docosadienoate (22:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	32415	LC/MS Neg	100001182
docosadioate (C22-DC)	Lipid	"Fatty Acid, Dicarboxylate"	39837	LC/MS Neg	100002952
docosahexaenoate (DHA; 22:6n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	44675	LC/MS Neg	100000665
docosahexaenoylcarnitine (C22:6)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57523	LC/MS Pos Late	100015845
docosahexaenoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	53263	LC/MS Pos Late	100009333
docosapentaenoate (DPA; 22:5n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	32504	LC/MS Neg	100001181
docosapentaenoate (n6 DPA; 22:5n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	37478	LC/MS Neg	100001580
docosapentaenoylcarnitine (C22:5n3)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57529	LC/MS Pos Late	100015851
docosatrienoate (22:3n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	32417	LC/MS Neg	100001195
dodecadienoate (12:2)*	Lipid	"Fatty Acid, Dicarboxylate"	62276	LC/MS Neg	100020478
dodecanedioate (C12)	Lipid	"Fatty Acid, Dicarboxylate"	32388	LC/MS Neg	100001102
dodecenedioate (C12:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	61864	LC/MS Neg	100019972
dopamine 3-O-sulfate	Amino Acid	Tyrosine Metabolism	48407	LC/MS Neg	100006361
dopamine 4-sulfate	Amino Acid	Tyrosine Metabolism	48406	LC/MS Neg	100006360
doxycycline	Xenobiotics	Drug - Antibiotic	39273	LC/MS Pos Late	100003009
duloxetine	Xenobiotics	Drug - Psychoactive	40450	LC/MS Pos Late	100003445
ectoine	Xenobiotics	Chemical	35651	LC/MS Pos Early	100001635
EDTA	Xenobiotics	Chemical	22163	LC/MS Neg	100001002
eicosanedioate (C20-DC)	Lipid	"Fatty Acid, Dicarboxylate"	39831	LC/MS Neg	100002951
eicosapentaenoate (EPA; 20:5n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	18467	LC/MS Neg	2050
eicosenedioate (C20:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	62923	LC/MS Neg	100021105
eicosenoate (20:1n9 or 1n11)	Lipid	Long Chain Monounsaturated Fatty Acid	33587	LC/MS Neg	100001335
eicosenoylcarnitine (C20:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	57519	LC/MS Pos Late	100015838
epiandrosterone sulfate	Lipid	Androgenic Steroids	33973	LC/MS Neg	100001287
ergothioneine	Xenobiotics	Food Component/Plant	37459	LC/MS Polar	100002154
erucate (22:1n9)	Lipid	Long Chain Monounsaturated Fatty Acid	1552	LC/MS Neg	1087
erythritol	Xenobiotics	Food Component/Plant	20699	LC/MS Polar	100000846
erythronate*	Carbohydrate	Aminosugar Metabolism	42420	LC/MS Polar	100001320
escitalopram	Xenobiotics	Drug - Psychoactive	40459	LC/MS Pos Late	100003444
ethyl alpha-glucopyranoside	Xenobiotics	Food Component/Plant	63152	LC/MS Polar	100015965
ethyl maltol sulfate	Xenobiotics	Food Component/Plant	62314	LC/MS Neg	100006255
ethylmalonate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	15765	LC/MS Polar	2054
ethylparaben sulfate	Xenobiotics	Chemical	48463	LC/MS Neg	100006271
etiocholanolone glucuronide	Lipid	Androgenic Steroids	47112	LC/MS Neg	100005403
eugenol sulfate	Xenobiotics	Food Component/Plant	48715	LC/MS Neg	100006171
ferulic acid 4-sulfate	Xenobiotics	Food Component/Plant	47114	LC/MS Neg	100005389
fexofenadine	Xenobiotics	Drug - Respiratory	42021	LC/MS Pos Late	100004018
ADSGEGDFXAEGGGVR*	Peptide	Fibrinogen Cleavage Peptide	57709	LC/MS Neg	100001322
DSGEGDFXAEGGGVR*	Peptide	Fibrinogen Cleavage Peptide	31548	LC/MS Neg	100001323
ADpSGEGDFXAEGGGVR*	Peptide	Fibrinogen Cleavage Peptide	57712	LC/MS Neg	100001324
FAD	Cofactors and Vitamins	Riboflavin Metabolism	2134	LC/MS Neg	327
fluoxetine	Xenobiotics	Drug - Psychoactive	44619	LC/MS Pos Late	1382
formiminoglutamate	Amino Acid	Histidine Metabolism	43493	LC/MS Pos Early	100002500
fructose	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	48195	LC/MS Polar	878
fructosyllysine	Amino Acid	Lysine Metabolism	46227	LC/MS Pos Early	100005373
fumarate	Energy	TCA Cycle	1643	LC/MS Polar	330
furosemide	Xenobiotics	Drug - Cardiovascular	43009	LC/MS Neg	100004241
gabapentin	Xenobiotics	Drug - Neurological	38686	LC/MS Neg	100002806
galactonate	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	27719	LC/MS Polar	100001026
gamma-carboxyglutamate	Amino Acid	Glutamate Metabolism	38754	LC/MS Pos Early	100002679
gamma-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	44876	LC/MS Neg	100002094
gamma-CEHC glucuronide*	Cofactors and Vitamins	Tocopherol Metabolism	42381	LC/MS Neg	100004243
gamma-glutamyl-2-aminobutyrate	Peptide	Gamma-glutamyl Amino Acid	37092	LC/MS Pos Early	100001502
gamma-glutamyl-alpha-lysine	Peptide	Gamma-glutamyl Amino Acid	55015	LC/MS Pos Early	100010901
gamma-glutamyl-epsilon-lysine	Peptide	Gamma-glutamyl Amino Acid	33934	LC/MS Pos Early	100001262
gamma-glutamylalanine	Peptide	Gamma-glutamyl Amino Acid	37063	LC/MS Pos Early	100001843
gamma-glutamylcitrulline*	Peptide	Gamma-glutamyl Amino Acid	62104	LC/MS Pos Early	100020241
gamma-glutamylglutamate	Peptide	Gamma-glutamyl Amino Acid	36738	LC/MS Pos Early	331
gamma-glutamylglutamine	Peptide	Gamma-glutamyl Amino Acid	2730	LC/MS Pos Early	1140
gamma-glutamylglycine	Peptide	Gamma-glutamyl Amino Acid	33949	LC/MS Pos Early	100001294
gamma-glutamylhistidine	Peptide	Gamma-glutamyl Amino Acid	18245	LC/MS Pos Early	1235
gamma-glutamylisoleucine*	Peptide	Gamma-glutamyl Amino Acid	34456	LC/MS Pos Early	100001485
gamma-glutamylleucine	Peptide	Gamma-glutamyl Amino Acid	18369	LC/MS Pos Early	1268
gamma-glutamylmethionine	Peptide	Gamma-glutamyl Amino Acid	44872	LC/MS Pos Early	100001313
gamma-glutamylphenylalanine	Peptide	Gamma-glutamyl Amino Acid	33422	LC/MS Pos Early	100000491
gamma-glutamylthreonine	Peptide	Gamma-glutamyl Amino Acid	33364	LC/MS Pos Early	100001314
gamma-glutamyltryptophan	Peptide	Gamma-glutamyl Amino Acid	33947	LC/MS Neg	100001295
gamma-glutamyltyrosine	Peptide	Gamma-glutamyl Amino Acid	2734	LC/MS Neg	1102
gamma-glutamylvaline	Peptide	Gamma-glutamyl Amino Acid	43829	LC/MS Pos Early	100001126
gamma-tocopherol/beta-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	52473	LC/MS Pos Late	100008998
genistein sulfate*	Xenobiotics	Food Component/Plant	62061	LC/MS Neg	100020207
gentisate	Amino Acid	Tyrosine Metabolism	18280	LC/MS Neg	100000447
gluconate	Xenobiotics	Food Component/Plant	587	LC/MS Polar	338
glucose	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	48152	LC/MS Polar	572
glucuronate	Carbohydrate	Aminosugar Metabolism	15443	LC/MS Polar	100000257
glucuronide of C10H18O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	61881	LC/MS Neg	100019990
glucuronide of C10H18O2 (7)*	Partially Characterized Molecules	Partially Characterized Molecules	61887	LC/MS Neg	100020014
glucuronide of C10H18O2 (8)*	Partially Characterized Molecules	Partially Characterized Molecules	61888	LC/MS Neg	100020015
glucuronide of C12H22O4 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	61874	LC/MS Neg	100019984
glucuronide of piperine metabolite C17H21NO3 (3)*	Xenobiotics	Food Component/Plant	62290	LC/MS Neg	100020491
glucuronide of piperine metabolite C17H21NO3 (4)*	Xenobiotics	Food Component/Plant	62291	LC/MS Neg	100020492
glucuronide of piperine metabolite C17H21NO3 (5)*	Xenobiotics	Food Component/Plant	62292	LC/MS Neg	100020493
glutamate	Amino Acid	Glutamate Metabolism	57	LC/MS Pos Early	561
glutamine	Amino Acid	Glutamate Metabolism	53	LC/MS Pos Early	563
glutamine conjugate of C6H10O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	63657	LC/MS Neg	100020261
glutamine conjugate of C6H10O2 (2)*	Partially Characterized Molecules	Partially Characterized Molecules	63660	LC/MS Neg	100020262
glutamine conjugate of C7H12O2*	Partially Characterized Molecules	Partially Characterized Molecules	63658	LC/MS Neg	100020259
glutarate (C5-DC)	Lipid	"Fatty Acid, Dicarboxylate"	396	LC/MS Polar	339
glutarylcarnitine (C5-DC)	Amino Acid	Lysine Metabolism	44664	LC/MS Pos Early	100001593
glycerate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1572	LC/MS Polar	1052
glycerol	Lipid	Glycerolipid Metabolism	15122	LC/MS Neg	1254
glycerol 3-phosphate	Lipid	Glycerolipid Metabolism	43847	LC/MS Neg	100000258
glycerophosphoethanolamine	Lipid	Phospholipid Metabolism	37455	LC/MS Pos Early	100001620
glycerophosphorylcholine (GPC)	Lipid	Phospholipid Metabolism	15990	LC/MS Pos Early	100000269
glycine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	58	LC/MS Pos Early	340
glycine conjugate of C10H12O2*	Partially Characterized Molecules	Partially Characterized Molecules	62145	LC/MS Neg	100020253
glycine conjugate of C10H14O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	62146	LC/MS Neg	100020254
glyco-beta-muricholate	Lipid	Primary Bile Acid Metabolism	62066	LC/MS Neg	100020214
glycochenodeoxycholate	Lipid	Primary Bile Acid Metabolism	32346	LC/MS Neg	1628
glycochenodeoxycholate 3-sulfate	Lipid	Primary Bile Acid Metabolism	52974	LC/MS Neg	100006641
glycochenodeoxycholate glucuronide (1)	Lipid	Primary Bile Acid Metabolism	52983	LC/MS Neg	100009264
glycocholate	Lipid	Primary Bile Acid Metabolism	18476	LC/MS Neg	342
glycocholate glucuronide (1)	Lipid	Primary Bile Acid Metabolism	52977	LC/MS Neg	100009259
glycocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	32599	LC/MS Neg	100001989
glycodeoxycholate	Lipid	Secondary Bile Acid Metabolism	18477	LC/MS Neg	100000436
glycodeoxycholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism	52975	LC/MS Neg	100006642
glycohyocholate	Lipid	Secondary Bile Acid Metabolism	42574	LC/MS Neg	100004083
glycolithocholate	Lipid	Secondary Bile Acid Metabolism	31912	LC/MS Neg	100001064
glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism	32620	LC/MS Neg	100001657
glycoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	39379	LC/MS Neg	100002911
glycoursodeoxycholic acid sulfate (1)	Lipid	Secondary Bile Acid Metabolism	63731	LC/MS Neg	100020819
guaiacol sulfate	Xenobiotics	Benzoate Metabolism	46111	LC/MS Neg	100004208
guanidinoacetate	Amino Acid	Creatine Metabolism	43802	LC/MS Polar	344
guanidinosuccinate	Amino Acid	Guanidino and Acetamido Metabolism	32446	LC/MS Polar	100001212
gulonate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	46957	LC/MS Polar	100001586
heme	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	41754	LC/MS Pos Late	100001386
heneicosapentaenoate (21:5n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	57658	LC/MS Neg	100015797
heptenedioate (C7:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	61866	LC/MS Polar	100019981
hexadecadienoate (16:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	57652	LC/MS Neg	100009394
hexadecanedioate (C16)	Lipid	"Fatty Acid, Dicarboxylate"	35678	LC/MS Neg	100001614
hexadecasphingosine (d16:1)*	Lipid	Sphingosines	57428	LC/MS Pos Late	100015723
hexadecenedioate (C16:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	61862	LC/MS Neg	100019975
hexanoylcarnitine (C6)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	32328	LC/MS Pos Late	100000781
hexanoylglutamine	Lipid	Fatty Acid Metabolism (Acyl Glutamine)	54907	LC/MS Neg	100001733
hexanoylglycine (C6)	Lipid	Fatty Acid Metabolism (Acyl Glycine)	35436	LC/MS Neg	100001527
hippurate	Xenobiotics	Benzoate Metabolism	15753	LC/MS Neg	100000014
histidine	Amino Acid	Histidine Metabolism	59	LC/MS Neg	355
homoarginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	22137	LC/MS Pos Early	100000961
homocitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	22138	LC/MS Polar	100000963
homostachydrine*	Xenobiotics	Food Component/Plant	33009	LC/MS Pos Early	100001550
homovanillate (HVA)	Amino Acid	Tyrosine Metabolism	1101	LC/MS Neg	117
hydantoin-5-propionate	Amino Acid	Histidine Metabolism	40473	LC/MS Polar	100002514
hydrochlorothiazide	Xenobiotics	Drug - Cardiovascular	39625	LC/MS Neg	100002734
hydroquinone sulfate	Xenobiotics	Drug - Topical Agents	35322	LC/MS Neg	100001604
hydroxy-CMPF*	Lipid	"Fatty Acid, Dicarboxylate"	62277	LC/MS Polar	100019794
"hydroxy-N6,N6,N6-trimethyllysine*"	Amino Acid	Lysine Metabolism	62959	LC/MS Pos Early	100021123
hydroxyasparagine	Amino Acid	Alanine and Aspartate Metabolism	62060	LC/MS Pos Early	100020205
hydroxybupropion	Xenobiotics	Drug - Psychoactive	32882	LC/MS Pos Late	100001309
hydroxycotinine	Xenobiotics	Tobacco Metabolite	38661	LC/MS Pos Early	100002717
hyocholate	Lipid	Secondary Bile Acid Metabolism	34093	LC/MS Neg	100001279
hypotaurine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	590	LC/MS Pos Early	358
